id,product_code,product_description,cost_code_group,unit,quantity,unit_cost,amount,po_no,po_date,pr_nos,pr_no,pr_type,ro_ref,dept_code,book_no,doc_no,pr_date,doc_date,ep_code,ep_model,budget_code,budget_year,budget_description,budget_group,budget_subgroup,budget_type,budget_owner,section,_merge,created_at,updated_at,checked_at,approved_at,rejected_at,return_at,status,editor,checker,approver,rejecter,returner,creator
6971,23100446403591E,หม้อลมเบรคสั้น,231  ,EA,1.0,4200.0,4200.0,4500377440,2024-09-18 00:00:00,LP241124001602,LP241124001602,LP,,,,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
6623,2579085577709SKF,SEAL KIT ยี่ห้อ SKF,257  ,SET,1.0,3950.0,3950.0,4500375534,2024-08-23 00:00:00,LP241124001470,LP241124001470,LP, 0802/31, ,0802,31,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7951,37201002010PTT,"GASOHOL OIL-91""PTT""",372  ,L,20.0,3358.88,671.78,4500381244,2024-11-16 00:00:00,LP241124001976,LP241124001976,LP,000826,0,00826,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
8647,37201002010PTT,"GASOHOL OIL-91""PTT""",372  ,L,20.0,3405.6,681.12,4500383307,2024-12-19 00:00:00,LP241124002100,LP241124002100,LP,000859,0,00859,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
6987,37101010070CALT,CALTEX DIESEL B7,371  ,L,30.31,3083.4,934.58,4500377550,2024-09-19 00:00:00,LP241124001614,LP241124001614,LP,016/0760,0,16,0760,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
12046,37101010090BANG,HIGH DIESEL S  ''BANGCHAK'',371  ,L,48.5,3083.16,1495.33,4500389962,2025-04-08 00:00:00,LP241125000612,LP241125000612,LP,03/003,0,3,003,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7155,37201002010PTT,"GASOHOLL OIL-91""PTT""",372  ,L,10.0,3368.22,336.82,4500378383,2024-09-30 00:00:00,LP241124001692,LP241124001692,LP,0396/0048,0,396,0048,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
16539,232001R0741,ELEMENT A-HYD (1R-0741),232  ,EA,24.0,725.0,17400.0,4300144801,2023-08-28 00:00:00,SP241123001119_1,SP241123001119,SP,0416/0035,0,416,0035,2023-08-17 10:57:00,,,,,,,,,,,,left_only,,,,,,,,,,,,,
16540,232001063969,ELEMENT-PRI (R) (106-3969),232  ,EA,10.0,6028.25,60282.5,4300144801,2023-08-28 00:00:00,SP241123001119_2,SP241123001119,SP,0416/0035,0,416,0035,2023-08-17 10:57:00,,,,,,,,,,,,left_only,,,,,,,,,,,,,
16541,232001063973,ELEMENT (R) (106-3973),232  ,EA,10.0,4194.0,41940.0,4300144801,2023-08-28 00:00:00,SP241123001119_3,SP241123001119,SP,0416/0035,0,416,0035,2023-08-17 10:57:00,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7693,37101040030PTT,HIGH SPEED DIESEL(Transportation incld.),371  ,L,23.81,3140.1,747.66,4500380100,2024-10-28 00:00:00,LP241124001883,LP241124001883,LP,0460,0,460,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7089,212902SN24X38CM,สาย HOSE 2SN24 x 38CM.,212  ,LN,1.0,7500.0,7500.0,4500378256,2024-09-28 00:00:00,LP241124001685,LP241124001685,LP,0611/47,0,611,47,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7694,37201002010PTT,"GASOHOLL OIL-91""PTT""",372  ,L,20.0,3340.18,668.04,4500380101,2024-10-28 00:00:00,LP241124001881,LP241124001881,LP,0645/14,0,645,14,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7156,37201002010PTT,"GASOHOLL OIL-91""PTT""",372  ,L,20.0,3377.57,675.51,4500378408,2024-10-01 00:00:00,LP241124001707,LP241124001707,LP,0646/44,0,646,44,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
20741,221904120001739016,BRAKE PLATE SLIL14120001739016,221  ,EA,20.0,220.0,4400.0,4300147545,2024-11-22 00:00:00,SP241124001136_1,SP241124001136,SP,0743/23,0,743,23,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
2040,216909023010500FOR,พัดลมคอยล์ร้อน 14 นิ้ว 12V ยี่ห้อ FORMUL,216  ,EA,1.0,2000.0,2000.0,4500356492,2023-08-23 00:00:00,LP241123000550,LP241123000550,LP,0756/31,0,756,31,2023-08-19 10:20:20,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7153,37101060001BCP,POWER - D (ดีเซลหมุนเร็ว),371  ,L,14.94,3127.8,467.29,4500378381,2024-09-30 00:00:00,LP241124001684,LP241124001684,LP,100/34,1,00,34,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
100,37101040030PTT,HIGH SPEED DIESEL(Transportation incld.),371,L,15.34,30.46,467.2564,,,LP241125000835,LP241125000835,LP,100404,1,00404,,2025-03-05 00:00:00,,,,,,,,,,,,left_only,,,,,,,,,,,,,
8515,41010125102HDEX,RECO COOL HD EXPERT EXTEND WATER BASED P,410  ,L,2000.0,73.0,146000.0,4500382372,2024-12-03 00:00:00,LP241124002031,LP241124002031,LP,1173/23,1,173,23,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
7018,37201002010PTT,"GASOHOLL OIL-91""PTT""",372  ,L,20.0,3452.33,690.47,4500377933,2024-09-25 00:00:00,LP241124001636,LP241124001636,LP,1191,1,191,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
9069,37201002010PTT,"GASOHOL OIL-91""PTT""",372  ,L,0.0,0.0,0.0,4500386222,2025-02-13 00:00:00,LP241125000188,LP241125000188,LP,1490714,1,490714,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
9144,37101040030PTT,HIGH SPEED DIESEL(Transportation incld.),371  ,L,14.88,3140.39,467.29,4500386949,2025-02-25 00:00:00,LP241125000242,LP241125000242,LP,1490714,1,490714,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
5582,2169012INCH1012VJC,ใบพัดลม 12 นิ้ว 10 ใบ 12 V (แบบโค้งSแบบเ,216  ,EA,1.0,1450.0,1450.0,4500370391,2024-06-07 00:00:00,LP241124000933,LP241124000933,LP,16,1,6,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
8830,37101050001SHEL,Shell FuelSave Diesel (รวมค่าขนส่ง),371  ,L,14.88,3141.21,467.29,4500384505,2025-01-15 00:00:00,LP241125000038,LP241125000038,LP,163/01,1,63,01,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
12498,37101050001SHEL,Shell FuelSave Diesel (รวมค่าขนส่ง),371  ,L,15.33,3047.84,467.29,4500391071,2025-05-02 00:00:00,LP241125000819,LP241125000819,LP,1630100008,1,630100008,,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
8966,23190SC40493R,ลูกยางเบรคแหวน SEIKEN,231  ,EA,1.0,1250.0,1250.0,4500385242,2025-01-28 00:00:00,LP241125000121,LP241125000121,LP,1647/13,1,647,13,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
101,37101040030PTT,HIGH SPEED DIESEL(Transportation incld.),371,L,31.07,30.08,934.5856,,,LP241125000836,LP241125000836,LP,1718688,1,718688,,2025-03-05 00:00:00,,,,,,,,,,,,left_only,,,,,,,,,,,,,
6542,37101050001SHEL,Shell FuelSave Diesel (รวมค่าขนส่ง),371  ,L,23.56,3173.42,747.66,4500375065,2024-08-16 00:00:00,LP241124001400,LP241124001400,LP,200/44,2,00,44,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
6541,37201002010PTT,"GASOHOLL OIL-91""PTT""",372  ,L,20.0,3657.95,731.59,4500375064,2024-08-16 00:00:00,LP241124001401,LP241124001401,LP,201/23,2,01,23,,,,,,,,,,,,,left_only,,,,,,,,,,,,,
